,t_out,Energy_2,Energy_4,Energy_3,temperature:drybulb,Equip,Energy_5,Energy_1,light,occ
3036,27.3,5334.7617,5289.735,3368.7861,21.997719,0.4377068,3461.7627,0.0,0.03570326,0.0
3037,27.4,5371.043,5325.303,3391.8132,21.997686,0.4377068,3484.522,0.0,0.03570326,0.0
3038,27.5,5400.703,5354.266,3410.2688,21.997663,0.4377068,3502.8179,0.0,0.03570326,0.0
3039,27.6,5425.102,5377.97,3425.178,21.997644,0.4377068,3517.6426,0.0,0.03570326,0.0
3040,27.7,5445.9937,5398.1626,3437.7961,21.99763,0.4377068,3530.1853,0.0,0.03570326,0.0
3041,27.8,5462.847,5416.1147,3449.0032,21.997616,0.4377068,3541.2727,0.0,0.03570326,0.0
3042,27.516666,5380.7856,5337.443,3395.3687,21.997635,0.4377068,3487.3682,0.0,0.03570326,0.0
3043,27.233334,5307.499,5266.8794,3348.5195,21.997692,0.4377068,3440.1687,0.0,0.03570326,0.0
3044,26.95,5245.915,5207.8696,3309.731,21.997736,0.4377068,3400.8616,0.0,0.03570326,0.0
3045,26.666666,5191.9946,5156.4644,3276.072,21.99777,0.4377068,3366.5854,0.0,0.03570326,0.0
3046,26.383333,5142.306,5109.2,3245.0762,21.997803,0.4377068,3335.002,0.0,0.03570326,0.0
3047,26.1,5094.073,5063.3296,3214.8787,21.997837,0.4377068,3304.3342,0.0,0.03570326,0.0
3048,26.1,5134.8613,5104.8286,3241.751,21.997849,0.4377068,3330.2458,0.0,0.03570326,0.0
3049,26.1,5178.597,5148.6055,3269.9578,21.997822,0.4377068,3357.6553,0.0,0.03570326,0.0
3050,26.1,5226.477,5192.05,3299.087,21.997784,0.4377068,3386.1177,0.0,0.03570326,0.0
3051,26.1,5273.3887,5238.739,3329.0066,21.997746,0.4377068,3415.463,0.0,0.03570326,0.0
3052,26.1,5447.1084,5413.1133,3435.2332,21.997662,0.4377068,3520.025,0.0,0.07140652,0.0
3053,26.1,5489.058,5455.2837,3462.0886,21.997557,0.4377068,3546.5898,0.0,0.07140652,0.0
3054,26.1,5515.812,5482.6924,3479.898,21.997519,0.4377068,3565.1152,0.0,0.07140652,0.0
3055,26.1,5535.8755,5503.6753,3493.1565,21.997496,0.4377068,3578.9893,0.0,0.07140652,0.0
3056,26.1,5547.3516,5516.104,3500.5164,21.997486,0.4377068,3586.898,0.0,0.07140652,0.0
